categoria,nivel,pergunta,opcao_a,opcao_b,opcao_c,correta
Michael Jackson,Médio,Qual música Michael Jackson escreveu com Lionel Richie para arrecadar fundos para a África?,We Are the World,Heal the World,Earth Song,We Are the World
Michael Jackson,Médio,Qual o nome do pai e empresário original do grupo Jackson 5?,Joe Jackson,Tito Jackson,Jermaine Jackson,Joe Jackson
Michael Jackson,Médio,Em qual país Michael Jackson gravou o clipe de They Don't Care About Us com o grupo Olodum?,Brasil,África do Sul,Jamaica,Brasil
Michael Jackson,Médio,Quem dirigiu o famoso videoclipe da música Bad?,Martin Scorsese,Steven Spielberg,Quentin Tarantino,Martin Scorsese
Michael Jackson,Médio,Qual famoso jogador de basquete participou do clipe de Jam?,Magic Johnson,Michael Jordan,Shaquille O'Neal,Michael Jordan
Michael Jackson,Médio,Com qual filha de uma lenda da música Michael Jackson foi casado?,Lisa Marie Presley,Nancy Sinatra,Stella McCartney,Lisa Marie Presley
Michael Jackson,Médio,Quem dirigiu o lendário videoclipe de Thriller em 1983?,John Landis,George Lucas,James Cameron,John Landis
Michael Jackson,Difícil,Em qual cidade ele nasceu?,Gary,Chicago,NY,Gary
Michael Jackson,Difícil,Em qual ano Thriller foi lançado?,1982,1985,1986,1982
Michael Jackson,Difícil,Quem fez o icônico solo de guitarra na música Beat It?,Eddie Van Halen,Slash,Carlos Santana,Eddie Van Halen
Michael Jackson,Difícil,Quantos prêmios Grammy o álbum Thriller ganhou em uma única edição?,8,5,10,8
Michael Jackson,Difícil,Primeiro single solo na Motown?,Got to Be There,Ben,Music & Me,Got to Be There
Michael Jackson,Difícil,Título de Rei do Pop foi dado por quem?,Elizabeth Taylor,Elvis,Madonna,Elizabeth Taylor
Michael Jackson,Difícil,Qual o nome do filme que o MJ fez em 1988?,Moonwalker,Thriller,This is it,Moonwalker
Michael Jackson,Difícil,Qual foi o último álbum de estúdio lançado por Michael Jackson em vida (2001)?,Invincible,HIStory,Dangerous,Invincible
Michael Jackson,Difícil,Em que ano ocorreu a lendária apresentação de Michael no intervalo do Super Bowl?,1993,1991,1995,1993
Michael Jackson,Difícil,Qual patente Michael Jackson registrou no escritório dos EUA em 1993?,Sapatos antigravidade,Luva com LEDs,Microfone headset,Sapatos antigravidade
Michael Jackson,Difícil,Qual é o nome do meio de Michael Jackson?,Joseph,David,William,Joseph
Michael Jackson,Difícil,Qual foi o primeiro álbum solo de Michael Jackson em sua fase adulta (lançado em 1979)?,Off the Wall,Thriller,Bad,Off the Wall
Michael Jackson,Difícil,Qual é o nome da autobiografia oficial lançada por Michael Jackson em 1988?,Moonwalk,The Magic & The Madness,My Life,Moonwalk
Michael Jackson,Difícil,O clipe de Scream com sua irmã Janet entrou para o Guinness Book por ser o mais...,Longo da história,Caro da história,Premiado da história,Caro da história
Michael Jackson,Difícil,Em 1985 Michael comprou o catálogo de músicas da ATV Music Publishing que incluía quase todas as músicas de qual banda?,The Rolling Stones,The Beatles,Queen,The Beatles
